cid,FirstLastP,Rcpts,Spent,PACs,Indivs,Cand,Other,EndCash,LgIndivs,SmIndivs,enddate,ReleaseDate,VotePercent,Result,CRPICO,State,IncCID,Incumbent,primarydate,DistIDCurr,capeye,sort,SmLgIndivsNote
N00043581,Ilhan Omar (D),3817651.52,2760619.33,53781.62,3773516.27,0.0,-9646.37,1111861.46,1511662.32,2261853.95,2020-06-30 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",I,Minnesota,"","",2020-08-11 00:00:00 +0000,MN05,0,1,N
N00046013,Antone Melton-Meaux (D),3690826.52,1674157.15,34000.0,3592701.52,80600.0,-16475.0,2016669.37,3384023.94,208677.58,2020-06-30 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00044887,Lacy Johnson (R),3162754.01,2605381.69,2010.0,3170733.01,600.0,-10589.0,557372.32,649835.2,2520897.81,2020-06-30 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00045036,Chris Kelley (3),249582.84,249582.84,0.0,249651.63,50.0,-118.79,0.0,79761.99,169889.64,2020-07-02 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00046228,Dalia Al-Aqidi (R),181199.69,173132.85,0.0,181199.69,0.0,0.0,8066.84,70633.55,110566.14,2020-06-30 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00044784,Danielle Stella (R),132834.67,130174.56999999999,0.0,136380.78,0.0,-3546.11,2660.1,37126.48,99254.3,2020-06-30 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00046014,John Mason (D),108224.0,5563.05,0.0,8224.0,100000.0,0.0,102660.95,2554.0,5670.0,2020-03-31 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00045514,Alley Waterbury (R),6168.3,5159.6,0.0,6168.3,0.0,0.0,0.0,5108.7,1059.6,2020-01-31 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00045735,Lucia Vogel (R),539.09,690.11,0.0,539.09,0.0,0.0,0.0,489.09,50.0,2020-06-30 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00044537,Ervan Katari Miller (I),255.0,187.38,0.0,200.0,55.0,0.0,67.62,200.0,0.0,2019-09-16 00:00:00 +0000,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,    ,0,2,N
N00046227,Leila Shukri Adan (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
N00047074,Les Lester (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
N00009426,Daniel McCarthy (D),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
N00046977,Laverne Turner (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
N00044783,Brent Whaley (R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
N00046892,Toya Woodland (3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-07-23 00:00:00 +0000,0.0,"",C,Minnesota,"","",2020-08-11 00:00:00 +0000,,0,2,N
